id,status,name,name_en,province,amphoe,tambon,lat,lng,first_seen,sessions,photo,motdang_url
cm-osm-node-12467082184,confirmed,Xavier Ink.cnx,,cm,เมืองเชียงใหม่,สุเทพ,18.783401,98.9771262,2026-09-23,1,,https://motdang.net/cm/p/xavier-ink-cnx-12467082184.html
cm-osm-node-12709479801,confirmed,WorldChemical,,cm,เมืองเชียงใหม่,ป่าแดด,18.7626769,98.9945077,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-140-r.jpg,https://motdang.net/cm/p/worldchemical-12709479801.html
cm-osm-node-13142229920,confirmed,Sunflower Smoothie & Coffee,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7895153,98.9802621,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-317-r.jpg,https://motdang.net/cm/p/sunflower-smoothie-coffee-13142229920.html
cm-osm-node-13388087101,confirmed,Rush Fitness,,cm,เมืองเชียงใหม่,ช้างคลาน,18.7667286,98.9877239,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-165-r.jpg,https://motdang.net/cm/p/rush-fitness-13388087101.html
cm-osm-node-1353289156,confirmed,7-Eleven,7-Eleven,cm,เมืองเชียงใหม่,หนองหอย,18.7623204,99.0236129,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-059-l.jpg,https://motdang.net/cm/p/7-eleven-1353289156.html
cm-osm-node-13592444201,confirmed,Maybank,,cm,เมืองเชียงใหม่,หายยา,18.7702602,98.976554,2026-09-23,1,,https://motdang.net/cm/p/maybank-13592444201.html
cm-osm-node-1548373092,confirmed,Mingmitr Coffee,Mingmitr Coffee,cm,เมืองเชียงใหม่,หนองหอย,18.7597471,99.0152029,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-083-r.jpg,https://motdang.net/cm/p/mingmitr-coffee-1548373092.html
cm-osm-node-1600491079,confirmed,Robinson,,cm,เมืองเชียงใหม่,สุเทพ,18.7689112,98.9760491,2026-09-23,1,,https://motdang.net/cm/p/robinson-1600491079.html
cm-osm-node-1614993577,confirmed,วิทยาลัยเทคนิคเชียงใหม่,Technical College,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7924894,98.9829889,2026-09-23,1,,https://motdang.net/cm/p/technical-college-1614993577.html
cm-osm-node-1618122063,confirmed,7-Eleven,7-Eleven,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7919419,98.9819543,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-354-l.jpg,https://motdang.net/cm/p/7-eleven-1618122063.html
